auc,auc_normalization_denominator,auc_normalized,baf,critical,fire_duration,initial_tree_cells,max_spread_rate,param_conifer_ratio,param_f,param_flamm_conif,param_flamm_decid,param_height,param_humidity,param_init_tree_density,param_lightning_enabled,param_rain_enabled,param_rain_intensity,param_temperature_c,param_width,param_wind_dir,param_wind_enabled,param_wind_strength,peak_fire_fraction,peak_fire_size,run_id,scenario,seed,steps_total,steps_total_or_fire_horizon,time_to_extinguish,time_to_peak,truncated_by_max_steps
29688,1413042,0.021009991210452342,0.9944729172947443,True,130,9951,50,0.5,0.01,,,120,0.4,0.7,True,False,0.0,20.0,120,E,False,0.5,0.0435132147522862,433,baseline-0000,baseline,191664963,142,142,142,70,False
30428,957484,0.03177912111325098,0.9957785195366189,True,93,10186,58,0.5,0.01,,,120,0.4,0.7,True,False,0.0,20.0,120,E,False,0.5,0.07922638916159434,807,baseline-0001,baseline,1662057957,94,94,94,53,False
30152,897565,0.033593110248282855,0.9966286564204264,True,88,10085,47,0.5,0.01,,,120,0.4,0.7,True,False,0.0,20.0,120,E,False,0.5,0.06941001487357462,700,baseline-0002,baseline,1405681631,89,89,89,41,False
29903,830913,0.03598812390707571,0.995704724802717,True,82,10011,57,0.5,0.01,,,120,0.4,0.7,True,False,0.0,20.0,120,E,False,0.5,0.07571671161722106,758,baseline-0003,baseline,942484272,83,83,83,59,False
30209,928832,0.03252364259629298,0.9974247226624405,True,91,10096,53,0.5,0.01,,,120,0.4,0.7,True,False,0.0,20.0,120,E,False,0.5,0.0644809825673534,651,baseline-0004,baseline,929893137,92,92,92,38,False
30239,909720,0.03323989799059051,0.997229916897507,True,89,10108,40,0.5,0.01,,,120,0.4,0.7,True,False,0.0,20.0,120,E,False,0.5,0.07320933913731698,740,baseline-0005,baseline,1843824992,90,90,90,65,False
30032,903240,0.033249191798414596,0.9975089677162216,True,89,10036,56,0.5,0.01,,,120,0.4,0.7,True,False,0.0,20.0,120,E,False,0.5,0.07791948983658828,782,baseline-0006,baseline,184566854,90,90,90,60,False
30233,910080,0.0332201564697609,0.9966376582278481,True,89,10112,39,0.5,0.01,,,120,0.4,0.7,True,False,0.0,20.0,120,E,False,0.5,0.07318037974683544,740,baseline-0007,baseline,1497586438,90,90,90,58,False
30062,927912,0.03239746872548259,0.9935554233591116,True,91,10086,64,0.5,0.01,,,120,0.4,0.7,True,False,0.0,20.0,120,E,False,0.5,0.08050763434463613,812,baseline-0008,baseline,432652533,92,92,92,62,False
30290,911970,0.0332138118578462,0.9964472515543275,True,89,10133,57,0.5,0.01,,,120,0.4,0.7,True,False,0.0,20.0,120,E,False,0.5,0.07855521563209317,796,baseline-0009,baseline,202244314,90,90,90,62,False
30024,2182032,0.013759651554147694,0.9906949118986339,True,158,10102,27,0.5,0.01,,,120,0.2,0.7,True,False,0.0,20.0,120,E,True,0.7,0.03801227479706989,384,dry_windy-0000,dry_windy,1130604997,216,216,216,118,False
29300,1328744,0.02205089919502929,0.9849737797498992,True,133,9916,29,0.5,0.01,,,120,0.2,0.7,True,False,0.0,20.0,120,E,True,0.7,0.055970149253731345,555,dry_windy-0001,dry_windy,2095133045,134,134,134,56,False
29594,1483256,0.0199520514327938,0.9843344641788067,True,147,10022,37,0.5,0.01,,,120,0.2,0.7,True,False,0.0,20.0,120,E,True,0.7,0.058670923967272,588,dry_windy-0002,dry_windy,1580016183,148,148,148,61,False
29894,1159775,0.025775689250070056,0.9881011403073872,True,114,10085,40,0.5,0.01,,,120,0.2,0.7,True,False,0.0,20.0,120,E,True,0.7,0.061576598909271196,621,dry_windy-0003,dry_windy,1634535062,115,115,115,60,False
30113,1519500,0.019817703191839422,0.9909180651530108,True,149,10130,45,0.5,0.01,,,120,0.2,0.7,True,False,0.0,20.0,120,E,True,0.7,0.06110562685093781,619,dry_windy-0004,dry_windy,1540770719,150,150,150,55,False
