auc,auc_normalization_denominator,auc_normalized,baf,burned_components,critical,fire_duration,ignition_succeeded,initial_tree_cells,largest_cluster_share,max_spread_rate,no_ignition,param_conifer_ratio,param_f,param_flamm_conif,param_flamm_decid,param_height,param_humidity,param_init_tree_density,param_lightning_enabled,param_rain_enabled,param_rain_intensity,param_temperature_c,param_width,param_wind_dir,param_wind_enabled,param_wind_strength,peak_fire_fraction,peak_fire_size,run_id,scenario,seed,shape_complexity,steps_total,steps_total_or_fire_horizon,time_to_extinguish,time_to_peak,truncated_by_max_steps
29840,796080,0.03748366998291629,0.9995980303487086,1,True,79,True,9951,1.0,47,False,0.5,0.01,,,120,0.25,0.7,True,False,0.0,28.0,120,E,False,0.4,0.08803135363280072,876,baseline-0000,baseline,191664963,1.254448577460541,80,80,80,59,False
30524,804694,0.03793243145841774,0.9989200863930886,1,True,78,True,10186,1.0,68,False,0.5,0.01,,,120,0.25,0.7,True,False,0.0,28.0,120,E,False,0.4,0.09513057137247202,969,baseline-0001,baseline,1662057957,1.192923832923833,79,79,79,59,False
30236,786630,0.038437384793359015,0.9994050570153694,1,True,77,True,10085,1.0,47,False,0.5,0.01,,,120,0.25,0.7,True,False,0.0,28.0,120,E,False,0.4,0.0872583044124938,880,baseline-0002,baseline,1405681631,1.2211528921519992,78,78,78,58,False
30011,760836,0.039444768649222695,0.9993007691539306,1,True,75,True,10011,1.0,49,False,0.5,0.01,,,120,0.25,0.7,True,False,0.0,28.0,120,E,False,0.4,0.08590550394565978,860,baseline-0003,baseline,942484272,1.2341063574570172,76,76,76,56,False
30269,807680,0.037476475832012676,0.999405705229794,1,True,79,True,10096,1.0,58,False,0.5,0.01,,,120,0.25,0.7,True,False,0.0,28.0,120,E,False,0.4,0.06844294770206022,691,baseline-0004,baseline,929893137,1.2116947472745292,80,80,80,34,False
30311,788424,0.03844504987164267,0.999604273842501,1,True,77,True,10108,1.0,39,False,0.5,0.01,,,120,0.25,0.7,True,False,0.0,28.0,120,E,False,0.4,0.0911159477641472,921,baseline-0005,baseline,1843824992,1.2155581947743468,78,78,78,59,False
30092,772772,0.03894033427712184,0.9995017935432443,1,True,76,True,10036,1.0,46,False,0.5,0.01,,,120,0.25,0.7,True,False,0.0,28.0,120,E,False,0.4,0.0887803905938621,891,baseline-0006,baseline,184566854,1.2481307945369355,77,77,77,59,False
30332,798848,0.03796967633392084,0.9999011075949367,2,True,78,True,10112,0.9999010978142617,49,False,0.5,0.01,,,120,0.25,0.7,True,False,0.0,28.0,120,E,False,0.4,0.09078322784810126,918,baseline-0007,baseline,1497586438,1.2208485807536347,79,79,79,59,False
30233,756450,0.03996695088902109,0.9992068213365061,1,True,74,True,10086,1.0,58,False,0.5,0.01,,,120,0.25,0.7,True,False,0.0,28.0,120,E,False,0.4,0.08933174697600635,901,baseline-0008,baseline,432652533,1.2222663226830721,75,75,75,57,False
30380,770108,0.039449012346320256,0.9994078752590546,1,True,75,True,10133,1.0,57,False,0.5,0.01,,,120,0.25,0.7,True,False,0.0,28.0,120,E,False,0.4,0.09108852264877135,923,baseline-0009,baseline,202244314,1.2124024883973537,76,76,76,59,False
30281,777854,0.03892889925358743,0.9992080776083944,1,True,76,True,10102,1.0,39,False,0.5,0.01,,,120,0.25,0.7,True,False,0.0,28.0,120,E,False,0.4,0.07186695703821025,726,baseline-0010,baseline,1130604997,1.2187438082028927,77,77,77,39,False
29741,773448,0.03845248807935375,0.9997983057684551,1,True,77,True,9916,1.0,37,False,0.5,0.01,,,120,0.25,0.7,True,False,0.0,28.0,120,E,False,0.4,0.08763614360629286,869,baseline-0011,baseline,2095133045,1.2806132741577567,78,78,78,56,False
30023,791738,0.03792037264852767,0.9986030732388744,1,True,78,True,10022,1.0,41,False,0.5,0.01,,,120,0.25,0.7,True,False,0.0,28.0,120,E,False,0.4,0.08082219117940531,810,baseline-0012,baseline,1580016183,1.2472022382094325,79,79,79,55,False
30242,766460,0.03945672311666623,0.9996033713435796,1,True,75,True,10085,1.0,48,False,0.5,0.01,,,120,0.25,0.7,True,False,0.0,28.0,120,E,False,0.4,0.08973723351512147,905,baseline-0013,baseline,1634535062,1.2332109909731177,76,76,76,59,False
30383,790140,0.038452679272027744,0.9998025666337611,1,True,77,True,10130,1.0,55,False,0.5,0.01,,,120,0.25,0.7,True,False,0.0,28.0,120,E,False,0.4,0.07018756169792695,711,baseline-0014,baseline,1540770719,1.2110979462875198,78,78,78,55,False
30311,778932,0.03891353802385831,0.9988137603795967,1,True,76,True,10116,1.0,47,False,0.5,0.01,,,120,0.25,0.7,True,False,0.0,28.0,120,E,False,0.4,0.09143930407275604,925,baseline-0015,baseline,1688060240,1.2119952494061759,77,77,77,58,False
29939,788894,0.037950599193301,0.9993991588223513,1,True,78,True,9986,1.0,42,False,0.5,0.01,,,120,0.25,0.7,True,False,0.0,28.0,120,E,False,0.4,0.08742239134788704,873,baseline-0016,baseline,1102145672,1.2430861723446893,79,79,79,57,False
30344,758925,0.03998287050762592,0.9996047040221365,1,True,74,True,10119,1.0,46,False,0.5,0.01,,,120,0.25,0.7,True,False,0.0,28.0,120,E,False,0.4,0.084593339262773,856,baseline-0017,baseline,275121930,1.1879387048937222,75,75,75,55,False
30407,770488,0.03946459905929749,0.9998027224304596,1,True,75,True,10138,1.0,40,False,0.5,0.01,,,120,0.25,0.7,True,False,0.0,28.0,120,E,False,0.4,0.08818307358453344,894,baseline-0018,baseline,1803345590,1.2158642462509865,76,76,76,59,False
30260,766612,0.039472379769687926,1.0,1,True,75,True,10087,1.0,47,False,0.5,0.01,,,120,0.25,0.7,True,False,0.0,28.0,120,E,False,0.4,0.06870229007633588,693,baseline-0019,baseline,967196436,1.213244770496679,76,76,76,59,False
30239,766308,0.03946063462733,0.999702469503124,1,True,75,True,10083,1.0,65,False,0.5,0.01,,,120,0.25,0.7,True,False,0.0,28.0,120,E,False,0.4,0.08995338688882278,907,baseline-0020,baseline,1074497555,1.2259920634920636,76,76,76,59,False
30452,771932,0.039449070643528185,0.9994092743920449,1,True,75,True,10157,1.0,50,False,0.5,0.01,,,120,0.25,0.7,True,False,0.0,28.0,120,E,False,0.4,0.0699025302746874,710,baseline-0021,baseline,796282693,1.1973204610383212,76,76,76,58,False
30047,781560,0.03844490506167153,0.9996007984031936,1,True,77,True,10020,1.0,53,False,0.5,0.01,,,120,0.25,0.7,True,False,0.0,28.0,120,E,False,0.4,0.09151696606786427,917,baseline-0022,baseline,392022359,1.2448083067092652,78,78,78,59,False
30044,771694,0.03893253025162824,0.9993015366194372,1,True,76,True,10022,1.0,46,False,0.5,0.01,,,120,0.25,0.7,True,False,0.0,28.0,120,E,False,0.4,0.0797246058670924,799,baseline-0023,baseline,1990212658,1.237343984023964,77,77,77,56,False
30326,768816,0.039445068781086765,0.999308026888098,1,True,75,True,10116,1.0,60,False,0.5,0.01,,,120,0.25,0.7,True,False,0.0,28.0,120,E,False,0.4,0.08956109134045077,906,baseline-0024,baseline,1678403330,1.213374220991196,76,76,76,59,False
30017,751500,0.03994278110445775,0.9986027944111776,1,True,74,True,10020,1.0,63,False,0.5,0.01,,,120,0.25,0.7,True,False,0.0,28.0,120,E,False,0.4,0.08682634730538923,870,baseline-0025,baseline,1382689815,1.2498500899460323,75,75,75,56,False
